#,id,name,evaluated,perfFeasible,inParetoFront,DV_68_Instantiate Component Actuator,DV_68_Instantiate Component Actuator_active,DV_69_Instantiate Component Computer,DV_69_Instantiate Component Computer_active,DV_70_Instantiate Component Sensor,DV_70_Instantiate Component Sensor_active,DV_71_Attribute Actuator 1/3 -> Type (1),DV_71_Attribute Actuator 1/3 -> Type (1)_active,DV_72_Attribute Actuator 1/3 -> Type (2),DV_72_Attribute Actuator 1/3 -> Type (2)_active,DV_73_Attribute Actuator 1/3 -> Type (3),DV_73_Attribute Actuator 1/3 -> Type (3)_active,DV_74_Attribute Actuator 1/3 -> Type (4),DV_74_Attribute Actuator 1/3 -> Type (4)_active,DV_75_Attribute Computer 1/3 -> Type (1),DV_75_Attribute Computer 1/3 -> Type (1)_active,DV_76_Attribute Computer 1/3 -> Type (2),DV_76_Attribute Computer 1/3 -> Type (2)_active,DV_77_Attribute Computer 1/3 -> Type (3),DV_77_Attribute Computer 1/3 -> Type (3)_active,DV_78_Attribute Computer 1/3 -> Type (4),DV_78_Attribute Computer 1/3 -> Type (4)_active,DV_79_Attribute Sensor 1/3 -> Type (1),DV_79_Attribute Sensor 1/3 -> Type (1)_active,DV_80_Attribute Sensor 1/3 -> Type (2),DV_80_Attribute Sensor 1/3 -> Type (2)_active,DV_81_Attribute Sensor 1/3 -> Type (3),DV_81_Attribute Sensor 1/3 -> Type (3)_active,DV_82_Attribute Sensor 1/3 -> Type (4),DV_82_Attribute Sensor 1/3 -> Type (4)_active,DV_83_Connect Port Command (1),DV_83_Connect Port Command (1)_active,DV_84_Connect Port Command (2),DV_84_Connect Port Command (2)_active,DV_85_Connect Port Command (3),DV_85_Connect Port Command (3)_active,DV_86_Connect Port Command (4),DV_86_Connect Port Command (4)_active,DV_87_Connect Port Command (5),DV_87_Connect Port Command (5)_active,DV_88_Connect Port Command (6),DV_88_Connect Port Command (6)_active,DV_89_Connect Port Command (7),DV_89_Connect Port Command (7)_active,DV_90_Connect Port Command (8),DV_90_Connect Port Command (8)_active,DV_91_Connect Port Command (9),DV_91_Connect Port Command (9)_active,DV_92_Connect Port Data (1),DV_92_Connect Port Data (1)_active,DV_93_Connect Port Data (2),DV_93_Connect Port Data (2)_active,DV_94_Connect Port Data (3),DV_94_Connect Port Data (3)_active,DV_95_Connect Port Data (4),DV_95_Connect Port Data (4)_active,DV_96_Connect Port Data (5),DV_96_Connect Port Data (5)_active,DV_97_Connect Port Data (6),DV_97_Connect Port Data (6)_active,DV_98_Connect Port Data (7),DV_98_Connect Port Data (7)_active,DV_99_Connect Port Data (8),DV_99_Connect Port Data (8)_active,DV_100_Connect Port Data (9),DV_100_Connect Port Data (9)_active,OBJ_101_Failure Rate,OBJ_102_Mass,FUN_18_Determine Action,FUN_19_Sense Orientation,FUN_16_Provide GNC,FUN_50_Control Orientation,DE_17_GNC Functions,COMP_21_Sensor,COMP_22_Computer,COMP_51_Actuator,PORT_20_Data,PORT_61_Command,ATTR_27_Type_0,ATTR_27_Type_1,ATTR_27_Type_2,ATTR_41_Type_0,ATTR_41_Type_1,ATTR_41_Type_2,ATTR_53_Type_0,ATTR_53_Type_1,ATTR_53_Type_2
1,103,Architecture #1,True,True,False,0,True,0,True,2,True,0,True,0,True,0,False,0,False,1,True,0,True,0,False,0,False,0,True,1,True,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-3.6989917174318534,30.5,1,1,1,1,1,3,1,1,1,1,B,B,B,A,0,0,C,0,0
2,169,Architecture #2,True,True,False,2,True,0,True,1,True,1,True,0,True,1,True,0,True,1,True,0,True,0,False,0,False,0,True,1,True,0,True,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.9999782810424493,36.5,1,1,1,1,1,2,1,3,1,1,B,C,0,A,0,0,A,B,C
3,238,Architecture #3,True,True,False,0,True,2,True,0,True,0,True,1,True,0,False,0,False,1,True,0,True,0,True,1,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-3.522907699153047,34.5,1,1,1,1,1,1,3,1,1,1,B,0,0,A,C,C,B,0,0
4,306,Architecture #4,True,True,False,0,True,2,True,1,True,1,True,0,True,0,False,0,False,1,True,1,True,0,True,1,True,0,True,1,True,1,True,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,1,True,0,True,0,True,0,False,0,False,0,False,-4.096801464897092,26.5,1,1,1,1,1,2,3,1,1,1,B,B,0,A,A,B,A,0,0
5,377,Architecture #5,True,True,False,1,True,2,True,1,True,1,True,0,True,0,True,0,False,0,True,1,True,1,True,1,True,1,True,0,True,0,True,0,False,1,True,0,True,1,True,1,True,1,True,0,True,0,False,0,False,0,False,0,True,1,True,1,True,1,True,1,True,1,True,0,False,0,False,0,False,-7.728162483531548,40.0,1,1,1,1,1,2,3,2,1,1,A,C,0,B,B,B,A,C,0
6,451,Architecture #6,True,True,False,0,True,2,True,0,True,0,True,0,True,0,False,0,False,1,True,1,True,1,True,0,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-3.6989917174318534,24.5,1,1,1,1,1,1,3,1,1,1,B,0,0,A,A,A,C,0,0
7,519,Architecture #7,True,True,False,1,True,0,True,1,True,0,True,1,True,1,True,0,False,0,True,0,True,0,False,0,False,0,True,1,True,1,True,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-4.697885644713036,33.0,1,1,1,1,1,2,1,2,1,1,B,B,0,C,0,0,B,B,0
8,585,Architecture #8,True,True,False,2,True,0,True,2,True,0,True,1,True,1,True,1,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,True,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-4.397939885174502,30.5,1,1,1,1,1,3,1,3,1,1,A,A,A,B,0,0,B,B,B
9,657,Architecture #9,True,True,False,1,True,1,True,0,True,1,True,1,True,0,True,0,False,1,True,1,True,0,True,0,False,0,True,1,True,0,False,0,False,1,True,1,True,0,True,1,True,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.9998940619182815,19.0,1,1,1,1,1,1,2,2,1,1,B,0,0,A,A,0,A,A,0
10,724,Architecture #10,True,True,False,0,True,2,True,0,True,0,True,0,True,0,False,0,False,1,True,1,True,0,True,1,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-3.6989917187345416,26.5,1,1,1,1,1,1,3,1,1,1,B,0,0,A,A,B,C,0,0
