#,id,name,evaluated,perfFeasible,inParetoFront,DV_68_Instantiate Component Actuator,DV_68_Instantiate Component Actuator_active,DV_69_Instantiate Component Computer,DV_69_Instantiate Component Computer_active,DV_70_Instantiate Component Sensor,DV_70_Instantiate Component Sensor_active,DV_71_Attribute Actuator 1/3 -> Type (1),DV_71_Attribute Actuator 1/3 -> Type (1)_active,DV_72_Attribute Actuator 1/3 -> Type (2),DV_72_Attribute Actuator 1/3 -> Type (2)_active,DV_73_Attribute Actuator 1/3 -> Type (3),DV_73_Attribute Actuator 1/3 -> Type (3)_active,DV_74_Attribute Actuator 1/3 -> Type (4),DV_74_Attribute Actuator 1/3 -> Type (4)_active,DV_75_Attribute Computer 1/3 -> Type (1),DV_75_Attribute Computer 1/3 -> Type (1)_active,DV_76_Attribute Computer 1/3 -> Type (2),DV_76_Attribute Computer 1/3 -> Type (2)_active,DV_77_Attribute Computer 1/3 -> Type (3),DV_77_Attribute Computer 1/3 -> Type (3)_active,DV_78_Attribute Computer 1/3 -> Type (4),DV_78_Attribute Computer 1/3 -> Type (4)_active,DV_79_Attribute Sensor 1/3 -> Type (1),DV_79_Attribute Sensor 1/3 -> Type (1)_active,DV_80_Attribute Sensor 1/3 -> Type (2),DV_80_Attribute Sensor 1/3 -> Type (2)_active,DV_81_Attribute Sensor 1/3 -> Type (3),DV_81_Attribute Sensor 1/3 -> Type (3)_active,DV_82_Attribute Sensor 1/3 -> Type (4),DV_82_Attribute Sensor 1/3 -> Type (4)_active,DV_83_Connect Port Command (1),DV_83_Connect Port Command (1)_active,DV_84_Connect Port Command (2),DV_84_Connect Port Command (2)_active,DV_85_Connect Port Command (3),DV_85_Connect Port Command (3)_active,DV_86_Connect Port Command (4),DV_86_Connect Port Command (4)_active,DV_87_Connect Port Command (5),DV_87_Connect Port Command (5)_active,DV_88_Connect Port Command (6),DV_88_Connect Port Command (6)_active,DV_89_Connect Port Command (7),DV_89_Connect Port Command (7)_active,DV_90_Connect Port Command (8),DV_90_Connect Port Command (8)_active,DV_91_Connect Port Command (9),DV_91_Connect Port Command (9)_active,DV_92_Connect Port Data (1),DV_92_Connect Port Data (1)_active,DV_93_Connect Port Data (2),DV_93_Connect Port Data (2)_active,DV_94_Connect Port Data (3),DV_94_Connect Port Data (3)_active,DV_95_Connect Port Data (4),DV_95_Connect Port Data (4)_active,DV_96_Connect Port Data (5),DV_96_Connect Port Data (5)_active,DV_97_Connect Port Data (6),DV_97_Connect Port Data (6)_active,DV_98_Connect Port Data (7),DV_98_Connect Port Data (7)_active,DV_99_Connect Port Data (8),DV_99_Connect Port Data (8)_active,DV_100_Connect Port Data (9),DV_100_Connect Port Data (9)_active,OBJ_101_Failure Rate,OBJ_102_Mass,FUN_18_Determine Action,FUN_19_Sense Orientation,FUN_16_Provide GNC,FUN_50_Control Orientation,DE_17_GNC Functions,COMP_21_Sensor,COMP_22_Computer,COMP_51_Actuator,PORT_20_Data,PORT_61_Command,ATTR_27_Type_0,ATTR_27_Type_1,ATTR_27_Type_2,ATTR_41_Type_0,ATTR_41_Type_1,ATTR_41_Type_2,ATTR_53_Type_0,ATTR_53_Type_1,ATTR_53_Type_2
1,103,Architecture #1,True,True,False,1,True,1,True,0,True,1,True,0,True,0,True,0,False,1,True,0,True,0,True,0,False,1,True,0,True,0,False,0,False,1,True,0,True,0,True,1,True,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.8238462202412897,29.0,1,1,1,1,1,1,2,2,1,1,A,0,0,A,C,0,A,C,0
2,170,Architecture #2,True,True,False,1,True,1,True,1,True,0,True,1,True,0,True,0,False,1,True,0,True,1,True,0,False,1,True,0,True,1,True,0,False,1,True,1,True,0,True,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,True,0,True,1,True,0,False,0,False,0,False,0,False,0,False,-7.096981130914924,32.0,1,1,1,1,1,2,2,2,1,1,A,B,0,A,B,0,B,C,0
3,240,Architecture #3,True,True,False,2,True,1,True,0,True,0,True,0,True,1,True,1,True,0,True,1,True,0,True,0,False,1,True,0,True,0,False,0,False,0,True,1,True,1,True,1,True,0,True,1,True,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.8239064204291573,46.5,1,1,1,1,1,1,2,3,1,1,A,0,0,B,C,0,C,C,C
4,310,Architecture #4,True,True,False,2,True,0,True,1,True,1,True,1,True,1,True,0,True,0,True,1,True,0,False,0,False,1,True,1,True,0,True,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-4.397695790917467,21.5,1,1,1,1,1,2,1,3,1,1,A,A,0,B,0,0,A,A,A
5,379,Architecture #5,True,True,False,0,True,2,True,0,True,0,True,1,True,0,False,0,False,1,True,1,True,0,True,1,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-3.5229076986320154,22.5,1,1,1,1,1,1,3,1,1,1,B,0,0,A,A,B,B,0,0
6,447,Architecture #6,True,True,False,0,True,2,True,2,True,1,True,0,True,0,False,0,False,1,True,0,True,1,True,0,True,1,True,0,True,1,True,0,True,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,True,1,True,0,True,1,True,0,True,1,True,0,True,-4.096910003074815,39.5,1,1,1,1,1,3,3,1,1,1,A,B,C,A,B,C,A,0,0
7,521,Architecture #7,True,True,False,2,True,1,True,2,True,0,True,0,True,1,True,1,True,0,True,0,True,1,True,0,False,1,True,1,True,0,True,1,True,0,True,1,True,1,True,1,True,1,True,0,True,0,False,0,False,0,False,1,True,1,True,0,True,1,True,1,True,0,True,0,False,0,False,0,False,-9.393188614781543,60.5,1,1,1,1,1,3,2,3,1,1,A,A,B,C,C,0,C,C,C
8,597,Architecture #8,True,True,False,1,True,0,True,1,True,0,True,0,True,1,True,0,False,0,True,0,True,0,False,0,False,0,True,0,True,1,True,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-4.698698660498477,47.0,1,1,1,1,1,2,1,2,1,1,C,C,0,C,0,0,C,C,0
9,663,Architecture #9,True,True,False,2,True,0,True,2,True,0,True,1,True,1,True,1,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,True,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-4.397939885174502,30.5,1,1,1,1,1,3,1,3,1,1,A,A,A,B,0,0,B,B,B
10,735,Architecture #10,True,True,False,1,True,0,True,2,True,0,True,1,True,1,True,0,False,0,True,1,True,0,False,0,False,1,True,0,True,1,True,0,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,-4.397505940412583,34.0,1,1,1,1,1,3,1,2,1,1,A,B,C,B,0,0,B,B,0
