#,id,name,evaluated,perfFeasible,inParetoFront,DV_66_Instantiate Component Actuator,DV_66_Instantiate Component Actuator_active,DV_67_Instantiate Component Computer,DV_67_Instantiate Component Computer_active,DV_68_Instantiate Component Sensor,DV_68_Instantiate Component Sensor_active,DV_69_Attribute Actuator 1/3 -> Type (1),DV_69_Attribute Actuator 1/3 -> Type (1)_active,DV_70_Attribute Actuator 1/3 -> Type (2),DV_70_Attribute Actuator 1/3 -> Type (2)_active,DV_71_Attribute Actuator 1/3 -> Type (3),DV_71_Attribute Actuator 1/3 -> Type (3)_active,DV_100_Attribute Actuator 1/3 -> Type (4),DV_100_Attribute Actuator 1/3 -> Type (4)_active,DV_72_Attribute Computer 1/3 -> Type (1),DV_72_Attribute Computer 1/3 -> Type (1)_active,DV_73_Attribute Computer 1/3 -> Type (2),DV_73_Attribute Computer 1/3 -> Type (2)_active,DV_74_Attribute Computer 1/3 -> Type (3),DV_74_Attribute Computer 1/3 -> Type (3)_active,DV_101_Attribute Computer 1/3 -> Type (4),DV_101_Attribute Computer 1/3 -> Type (4)_active,DV_75_Attribute Sensor 1/3 -> Type (1),DV_75_Attribute Sensor 1/3 -> Type (1)_active,DV_76_Attribute Sensor 1/3 -> Type (2),DV_76_Attribute Sensor 1/3 -> Type (2)_active,DV_77_Attribute Sensor 1/3 -> Type (3),DV_77_Attribute Sensor 1/3 -> Type (3)_active,DV_102_Attribute Sensor 1/3 -> Type (4),DV_102_Attribute Sensor 1/3 -> Type (4)_active,DV_103_Connect Port Command (1),DV_103_Connect Port Command (1)_active,DV_104_Connect Port Command (2),DV_104_Connect Port Command (2)_active,DV_105_Connect Port Command (3),DV_105_Connect Port Command (3)_active,DV_106_Connect Port Command (4),DV_106_Connect Port Command (4)_active,DV_107_Connect Port Command (5),DV_107_Connect Port Command (5)_active,DV_108_Connect Port Command (6),DV_108_Connect Port Command (6)_active,DV_109_Connect Port Command (7),DV_109_Connect Port Command (7)_active,DV_110_Connect Port Command (8),DV_110_Connect Port Command (8)_active,DV_111_Connect Port Command (9),DV_111_Connect Port Command (9)_active,DV_112_Connect Port Data (1),DV_112_Connect Port Data (1)_active,DV_113_Connect Port Data (2),DV_113_Connect Port Data (2)_active,DV_114_Connect Port Data (3),DV_114_Connect Port Data (3)_active,DV_115_Connect Port Data (4),DV_115_Connect Port Data (4)_active,DV_116_Connect Port Data (5),DV_116_Connect Port Data (5)_active,DV_117_Connect Port Data (6),DV_117_Connect Port Data (6)_active,DV_118_Connect Port Data (7),DV_118_Connect Port Data (7)_active,DV_119_Connect Port Data (8),DV_119_Connect Port Data (8)_active,DV_120_Connect Port Data (9),DV_120_Connect Port Data (9)_active,OBJ_96_Failure Rate,OBJ_97_Mass,FUN_18_Determine Action,FUN_19_Sense Orientation,FUN_16_Provide GNC,FUN_50_Control Orientation,DE_17_GNC Functions,COMP_21_Sensor,COMP_22_Computer,COMP_51_Actuator,PORT_20_Data,PORT_61_Command,ATTR_27_Type_0,ATTR_27_Type_1,ATTR_27_Type_2,ATTR_41_Type_0,ATTR_41_Type_1,ATTR_41_Type_2,ATTR_53_Type_0,ATTR_53_Type_1,ATTR_53_Type_2
1,121,Architecture #1,True,True,True,1,True,2,True,2,True,1,True,1,True,0,True,0,False,0,True,1,True,1,True,1,True,0,True,1,True,0,True,1,True,1,True,1,True,1,True,0,True,1,True,1,True,0,False,0,False,0,False,0,True,1,True,0,True,1,True,0,True,0,True,1,True,0,True,1,True,-8.19372898106372,46.0,1,1,1,1,1,3,3,2,1,1,B,C,C,B,B,B,A,A,0
2,198,Architecture #2,True,True,False,1,True,2,True,1,True,1,True,1,True,0,True,0,False,0,True,1,True,0,True,1,True,1,True,1,True,0,True,0,False,1,True,0,True,0,True,1,True,1,True,0,True,0,False,0,False,0,False,1,True,0,True,1,True,0,True,1,True,1,True,0,False,0,False,0,False,-7.371637926670701,38.0,1,1,1,1,1,2,3,2,1,1,A,A,0,B,C,C,A,A,0
3,272,Architecture #3,True,True,False,0,True,2,True,2,True,0,True,1,True,0,False,0,False,1,True,1,True,1,True,0,True,1,True,0,True,1,True,0,True,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,True,1,True,1,True,0,True,0,True,0,True,1,True,1,True,-3.698969996737765,32.5,1,1,1,1,1,3,3,1,1,1,A,B,C,A,A,A,B,0,0
4,346,Architecture #4,True,True,False,2,True,0,True,1,True,1,True,1,True,0,True,1,True,0,True,0,True,0,False,0,False,1,True,0,True,0,True,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-4.698807149906121,34.5,1,1,1,1,1,2,1,3,1,1,A,C,0,C,0,0,A,A,B
5,415,Architecture #5,True,True,False,0,True,0,True,1,True,0,True,0,True,0,False,0,False,0,True,1,True,0,False,0,False,0,True,1,True,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.853853356442574,26.5,1,1,1,1,1,2,1,1,1,1,B,B,0,B,0,0,C,0,0
6,478,Architecture #6,True,True,False,1,True,1,True,1,True,0,True,1,True,1,True,0,False,1,True,1,True,0,True,0,False,0,True,1,True,1,True,0,False,0,True,1,True,1,True,0,True,0,False,0,False,0,False,0,False,0,False,1,True,1,True,1,True,0,True,0,False,0,False,0,False,0,False,0,False,-6.886143509262214,29.0,1,1,1,1,1,2,2,2,1,1,B,B,0,A,A,0,B,B,0
7,548,Architecture #7,True,True,False,2,True,1,True,2,True,1,True,0,True,0,True,1,True,1,True,0,True,1,True,0,False,0,True,1,True,1,True,1,True,1,True,0,True,1,True,0,True,1,True,0,True,0,False,0,False,0,False,1,True,0,True,1,True,1,True,0,True,1,True,0,False,0,False,0,False,-7.8537441958138094,48.5,1,1,1,1,1,3,2,3,1,1,B,B,B,A,B,0,A,C,C
8,624,Architecture #8,True,True,False,0,True,1,True,0,True,0,True,1,True,0,False,0,False,1,True,0,True,1,True,0,False,0,True,1,True,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.522901910007546,19.5,1,1,1,1,1,1,2,1,1,1,B,0,0,A,B,0,B,0,0
9,688,Architecture #9,True,True,False,2,True,1,True,0,True,0,True,1,True,1,True,0,True,0,True,0,True,1,True,0,False,1,True,0,True,0,False,0,False,1,True,1,True,0,True,1,True,0,True,1,True,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-3.8239075679482513,43.5,1,1,1,1,1,1,2,3,1,1,A,0,0,C,C,0,B,B,C
10,758,Architecture #10,True,True,False,2,True,0,True,0,True,1,True,0,True,1,True,1,True,0,True,0,True,0,False,0,False,0,True,0,True,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,-4.1549081443845886,33.5,1,1,1,1,1,1,1,3,1,1,C,0,0,C,0,0,A,B,B
